cell	rho	k	n	dist	method	n_rep	n_abort	coverage_uncond	coverage_nonabort	lo_miss	hi_miss	med_width	width_ratio_vs_mc
49	0.6	10	5	gaussian	burch	2000	0	0.9365	0.9365	0.0145	0.049	0.5302015296	1.033640492
49	0.6	10	5	gaussian	mc	2000	2	0.981	0.981981982	0.01651651652	0.001501501502	0.5129457813	1
49	0.6	10	5	gaussian	npbootstrap	2000	0	0.939	0.939	0.037	0.024	0.5611793727	1.094032534
49	0.6	10	5	gaussian	searle	2000	0	0.953	0.953	0.026	0.021	0.5298046517	1.032866769
50	0.6	10	5	t5	burch	2000	0	0.868	0.868	0.031	0.101	0.5374733059	1.019526695
50	0.6	10	5	t5	mc	2000	6	0.961	0.963891675	0.03460381143	0.001504513541	0.5271792379	1
50	0.6	10	5	t5	npbootstrap	2000	0	0.916	0.916	0.036	0.048	0.6148803166	1.166359129
50	0.6	10	5	t5	searle	2000	0	0.8975	0.8975	0.0475	0.055	0.5470219565	1.037639416
51	0.6	10	5	uniform	burch	2000	0	0.968	0.968	0.0055	0.0265	0.5249225697	1.029288469
51	0.6	10	5	uniform	mc	2000	1	0.9945	0.9949974987	0.005002501251	0	0.5099858644	1
51	0.6	10	5	uniform	npbootstrap	2000	0	0.947	0.947	0.034	0.019	0.5024402256	0.9852042196
51	0.6	10	5	uniform	searle	2000	0	0.983	0.983	0.0075	0.0095	0.5252371273	1.029905266
52	0.6	10	5	chisq1	burch	2000	0	0.7055	0.7055	0.056	0.2385	0.5348093596	0.9764486252
52	0.6	10	5	chisq1	mc	2000	56	0.9015	0.9274691358	0.06738683128	0.005144032922	0.5477086514	1
52	0.6	10	5	chisq1	npbootstrap	2000	0	0.873	0.873	0.019	0.108	0.7214149405	1.317150895
52	0.6	10	5	chisq1	searle	2000	0	0.7535	0.7535	0.0775	0.169	0.5572716655	1.017460038
53	0.6	30	5	gaussian	burch	2000	0	0.9485	0.9485	0.0145	0.037	0.3061329083	1.010726452
53	0.6	30	5	gaussian	mc	2000	0	0.956	0.956	0.0165	0.0275	0.3028840373	1
